Table 3-25:  Average Wagea and Salary Accruals per Full-Time Equivalent Employee by Transportation Industry (North American Industry Classification System [NAICS] basis) (Current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,(R) 2012,(R) 2013,2014,,,,,,,,,,,,,,,,,,
All industries,"35,510","37,049","39,238","40,215","40,963","42,295","44,222","45,594","47,658","49,768","51,239","51,579","53,247","54,702","56,094","56,628","57,534",,,,,,,,,,,,,,,,,,
Transportation and warehousing,"35,965","37,426","39,055","39,944","40,665","41,483","43,230","43,810","45,344","47,195","47,884","48,019","49,710","51,175","52,370","53,337","60,180",,,,,,,,,,,,,,,,,,
Air,"48,919","50,879","53,231","56,184","58,169","57,660","59,089","56,759","59,274","63,544","62,657","62,283","65,776","69,400","70,484","77,890","88,819",,,,,,,,,,,,,,,,,,
Rail,"59,766","61,287","63,353","63,710","64,493","67,273","71,121","72,237","74,529","77,581","83,615","81,558","80,710","83,331","88,909","85,986","97,101",,,,,,,,,,,,,,,,,,
Water ,"48,450","50,407","51,516","55,330","57,237","58,486","62,066","62,886","66,463","74,778","75,498","76,861","78,565","82,480","82,976","84,364","96,971",,,,,,,,,,,,,,,,,,
Truck,"33,686","34,864","36,030","36,503","37,265","38,216","39,973","41,285","42,818","43,916","44,516","43,800","45,548","46,872","47,817","48,868","55,947",,,,,,,,,,,,,,,,,,
Transit and ground passenger transportation,"21,840","22,801","23,827","24,346","24,733","25,199","26,604","26,955","28,384","29,288","29,734","30,027","30,974","31,994","32,545","32,743","36,909",,,,,,,,,,,,,,,,,,
Pipeline ,"64,305","71,789","96,662","100,547","82,094","84,011","89,342","88,928","97,928","105,628","104,942","108,085","112,648","119,091","137,264","124,302","137,827",,,,,,,,,,,,,,,,,,
Other transportation and support activitiesb,"32,605","34,489","35,823","36,204","37,689","39,098","41,387","42,465","44,047","45,747","46,488","47,383","49,161","49,987","51,021","51,911","57,943",,,,,,,,,,,,,,,,,,
Warehousing and storage,"31,317","32,307","33,623","34,182","35,190","36,624","37,955","38,861","39,491","41,007","41,717","43,069","44,188","44,972","45,424","45,684","51,211",,,,,,,,,,,,,,,,,,
KEY: R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Wages do not include supplements to wages and salaries such as pension, profit-sharing, and other retirement plans, and health, life, and unemployment insurance compensation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Comprises business establishments involved in scenic and sightseeing transportation, support activities for transportation, and couriers and messengers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data in this table is based on the 2002 NAICS codes. The Bureau of Economic Analysis (BEA) provides this data on a Standard Industrial Classification (SIC) basis ending in 2000 and on a NAICS basis beginning in 1998. This table is not comparable to previous editions due to the Comprehensive Benchmark revision by the BEA in 2007.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use care in comparing the data in this table with those in table 3-26. This table includes weighted part-time employees' salaries. Table 3-26 covers only full-time employees. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wage and salary accruals consist of the monetary remuneration of employees, including compensation of corporate officers; commissions, tips and bonuses; voluntary employee contributions to certain deferred compensation plans, such as 401(k) plans; and receipts in kind that represent income. In other words, accruals are wage and salary earned, not wage and salary paid. For example, wage and salary earned in 1999 but not paid until 2000 are included in accruals for 1999. However, the difference between wage and salary earned and wage and salary paid is usually very small.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Commerce, Bureau of Economic Analysis, National Income and Product Accounts Tables, table 6.6d, available at http://www.bea.gov/ as of May 24, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
