Table 1-13:  Active U.S. Air Carrier and General Aviation Fleet by Type of Aircraft (Number of carriers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Two engined,"11,422","15,835","20,331","24,366","22,100","21,100","20,551","17,966","15,626","14,750","15,706","16,082","15,938","18,659","20,930","20,951","18,192","17,483","17,491","18,469","19,412","18,708","19,337","17,515","16,474","15,900","15,702","14,313","13,257","13,146","13,254"
One engine,"81,134","109,492","136,944","168,435","153,400","154,000","152,836","144,837","133,516","127,351","137,049","137,401","140,038","144,234","150,886","149,422","145,034","143,503","143,265","146,613","148,101","145,036","147,569","145,497","140,649","139,519","136,895","128,847","124,398","126,036","127,887"
Other,U,199,U,212,100,100,131,77,14,51,33,68,79,70,108,140,89,101,U,U,U,U,U,U,U,U,U,U,U,U,U
"Rotorcraft, total","1,503","2,255","4,073","6,001","6,000","6,900","6,238","5,979","4,721","4,728","5,830","6,570","6,786","7,425","7,448","7,150","6,783","6,648","6,525","7,821","8,728","9,159","9,567","9,876","9,984","10,102","10,082","10,055","9,765","9,966","10,506"
Piston,U,"1,666","2,499","2,794","2,700","3,200","2,390","2,348","1,846","1,627","1,863","2,507","2,259","2,545","2,564","2,680","2,292","2,351","2,123","2,315","3,039","3,264","2,769","3,498","3,499","3,588","3,411","3,292","3,137","3,154","3,286"
"Turbine, total",U,589,"1,574","3,207","3,300","3,700","3,848","3,631","2,875","3,101","3,967","4,063","4,526","4,881","4,884","4,470","4,491","4,297","4,403","5,506","5,689","5,895","6,798","6,378","6,485","6,514","6,671","6,763","6,628","6,812","7,220"
Multiengine,U,U,U,U,U,U,U,U,629,616,733,643,764,843,839,694,884,686,853,"1,130","1,151","1,268","1,367","1,371","1,520","1,502",U,"1,663","1,596","1,685","1,762"
One engine,U,589,U,U,U,U,U,U,"2,246","2,485","3,234","3,420","3,762","4,038","4,045","3,776","3,607","3,611","3,550","4,376","4,537","4,627","5,431","5,007","4,965","5,012",U,"5,100","5,032","5,127","5,458"
"Other Aircraft, total",809,"1,554","2,832","4,945","5,800","6,600","8,051","8,000","5,037","5,907","4,741","4,244","4,091","5,580","6,765","6,700","6,545","6,377","6,008","5,939","6,454","6,277","5,940","5,652","5,480","5,684","5,681","5,006","4,277","4,699","4,941"
Gliders,U,U,U,U,U,U,U,U,"1,814","2,976","2,182","1,934","2,016","2,105","2,041","2,041","1,904","1,951","2,002","2,116","2,074","1,975","1,947","1,914","1,808","1,899",U,"1,820","1,594","1,791","1,870"
Lighter-than-Air,U,U,U,U,U,U,U,U,"3,223","2,931","2,559","2,310","2,075","3,475","4,725","4,660","4,641","4,426","4,006","3,823","4,380","4,303","3,993","3,738","3,672","3,785",U,"3,186","2,684","2,908","3,071"
"Experimental, total",U,U,U,U,U,U,U,U,"10,426","12,144","15,176","16,625","14,680","16,502","20,528","20,407","20,421","21,936","20,550","22,800","23,627","23,047","23,228","23,364","29,497","29,662","24,275","26,715","24,918","26,191","27,922"
Amateur Built,U,U,U,U,U,U,U,U,"6,171","8,833","9,328","11,566","10,261","13,189","16,858","16,739","16,736","18,168","17,028","19,165","19,817","19,316","19,538","19,767","20,794","21,270",U,"18,843","17,503","18,873","21,195"
Exhibition,U,U,U,U,U,U,U,U,"1,868",637,"2,245","2,094","1,798","1,630","1,999","1,973","2,052","2,190","2,031","2,070","2,120","2,103","2,101","2,096","2,063","2,029",U,"1,923","1,908","1,893","1,966"
Other,U,U,U,U,U,U,U,U,"2,387","2,674","3,603","2,965","2,620","1,684","1,671","1,694","1,633","1,578","1,491","1,565","1,691","1,629","1,589","1,501","6,640","6,363",U,"(R) 5,948","5,507","5,425","4,762"
KEY: R = revised; U = data are unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Air carrier aircraft are aircraft carrying passengers or cargo for hire under 14 CFR 121 (large aircraft-more than 30 seats) and 14 CFR 135 (small aircraft-30 seats or less). This definition is more encompassing than that in the Federal Aviation Administration (FAA) Aviation Forecast- jet aircraft, 60 seats or more carrying passengers or cargo for hire. Beginning in 1990, the number of aircraft is the monthly average reported in use for the last three months of the year. Prior to 1990, it was the number of aircraft reported in use during December of a given year. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
