Table 1-45: Air Passenger Travel Arrivals in the United States from Selected Foreign Countries (Thousands of passengers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
TOTAL arriving passengers,"12,646","20,262","24,156","42,712","41,236","45,084","47,353","49,558","52,991","56,820","60,315","62,856","66,755","72,205","65,460","62,851","62,960","70,849","75,121","77,699","80,650","80,548","75,809","80,287","83,341","87,104","91,353","96,060","102,323"
United States carriers,"6,502","10,031","11,798","21,960","21,639","23,878","25,356","26,133","27,321","29,023","29,958","31,014","32,627","35,286","32,619","32,112","32,439","37,329","40,571","42,495","44,770","45,083","41,979","44,689","45,815","46,955","48,482","49,992","51,575"
Foreign carriers,"6,144","10,231","12,357","20,752","19,597","21,207","21,997","23,425","25,670","27,797","30,358","31,842","34,128","36,919","32,841","30,739","30,521","33,519","34,550","35,204","35,881","35,465","33,830","35,598","37,526","40,150","42,871","46,067","50,748"
Selected countries of embarkationa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,N,N,N,"6,733","6,144","6,447","6,504","6,419","7,026","7,702","8,099","8,435","8,662","9,176","8,508","8,463","8,529","9,681","10,352","10,829","11,029","11,026","10,257","11,080","11,590","12,092","12,619","13,410","13,778"
Mexico,"1,626","2,886","2,719","4,735","4,904","5,151","5,276","5,481","5,190","5,986","6,498","6,855","7,255","7,928","7,316","7,120","7,517","8,810","9,523","9,646","9,921","9,847","8,538","9,076","9,190","9,588","10,407","11,102","12,753"
United Kingdom,"1,549","2,973","3,460","5,229","4,751","5,542","5,827","5,941","6,371","6,917","7,569","8,410","8,943","9,485","8,391","8,270","8,215","8,993","9,072","9,351","9,305","8,961","8,124","7,855","8,340","8,494","8,566","8,693","9,111"
Japan,"1,095","1,624","2,435","5,416","5,112","5,534","5,441","5,849","6,663","7,165","7,423","7,067","7,332","7,679","6,584","6,381","5,660","6,570","6,834","6,469","6,096","5,686","5,209","5,453","5,166","5,833","5,942","5,742","5,545"
Germany,622,"1,175","1,582","2,321","2,312","2,704","2,796","2,811","3,006","3,083","3,329","3,441","3,677","3,904","3,427","3,337","3,508","3,941","4,261","4,452","4,821","4,826","4,581","4,765","4,816","4,935","5,134","5,137","5,153"
China/Taiwan,50,113,206,360,500,575,731,967,"1,078","1,152","1,227","1,260","1,384","1,548","1,517","1,525","1,235","1,620","1,891","2,069","2,255","2,154","1,959","2,308","2,549","2,795","3,161","3,627","4,202"
France,512,689,955,"1,746","1,607","1,897","1,865","2,009","2,025","2,175","2,288","2,429","2,613","3,212","3,026","2,842","2,730","2,983","3,187","3,180","3,122","3,178","3,003","2,983","3,148","3,107","3,254","3,300","3,494"
