Table 3-18:  Average Passenger Fares (Current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-93: Interstate Commerce Commission, Transport Statistics in the United States, Motor Carriers (Washington, DC:  Annual Issues), part 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994-2002: U.S. Department of Transportation, Bureau of Transportation Statistics, Selected Earnings Data, Class I Motor Carriers of Passengers (Washington, DC:  Annual Issues) (operating revenue / revenue passengers).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit and commuter rail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-2001: American Public Transportation Association, Public Transportation Fact Book Appendix A: Historical Tables (Washington, DC: Annual Issues), table 43, and similar tables in earlier editions (passenger fares / passenger trips).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2002-14: U.S. Department of Transportation, Federal Transit Administration, National Transit Database, Data Tables (Washington, D.C.: Annual Reports), table 26, available at http://www.ntdprogram.gov/ntdprogram/data.htm as of July 22, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intercity rail / Amtrak:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1960-70: Association of American Railroads, Railroad Facts (Washington, DC: Annual Issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1975-80: National Passenger Rail Corporation (Amtrak), State and Local Affairs Department and Public Affairs Department, personal communication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1985-96: National Passenger Rail Corporation (Amtrak), Amtrak Annual Report, Statistical Appendix (Washington, DC: Annual Issues) (transportation revenues / Amtrak system passenger trips).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1997-99: National Passenger Rail Corporation (Amtrak), Amtrak Annual Report (Washington, DC: Annual Issues) (ticket revenue per passenger mile multiplied by average trip length of passengers), p. 67, available at http://www.amtrak.com/servlet/ContentServer?c=Page&pagename=am%2FLayout&cid=1241245669222 as of Mar. 4, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2000-14: National Passenger Rail Corporation (Amtrak), News Release (ticket revenue divided by ridership), available at http://www.amtrak.com as of Dec. 2, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
