Table 1-15:  Annual U.S. Motor Vehicle Production and Factory (Wholesale) Sales (Thousands of units),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Production, total","7,894","11,114","8,263","8,965","8,011","11,638","9,767","8,790","9,691","10,855","12,239","11,995","11,830","12,131","12,003","13,025","12,774","11,425","12,280","12,087","11,960","11,947","11,260","10,752","8,672","5,710","7,744","8,662","10,336","11,066","11,661","12,105"
Passenger cars,"6,696","9,329","6,546","6,706","6,372","8,186","6,078","5,440","5,667","5,982","6,601","6,326","6,035","5,878","5,492","5,578","5,471","4,808","4,957","4,453","4,166","4,266","4,312","3,867","3,731","2,196","2,732","2,978","4,109","4,369","4,253","4,162"
Commercial vehiclesa,"1,198","1,785","1,717","2,260","1,638","3,452","3,690","3,350","4,025","4,873","5,638","5,669","5,795","6,252","6,510","7,447","7,303","6,617","7,322","7,634","7,794","7,681","6,949","6,885","4,941","3,514","5,012","5,685","6,227","6,698","7,408","7,943"
"Factory (wholesale) sales, total","7,869","11,057","8,239","8,985","8,067","11,467","9,775","8,795","9,747","10,857","12,189","12,023","11,916","12,223","12,112","12,773","12,527","11,108",U,U,U,U,U,U,U,U,U,U,U,U,U,U
Passenger cars,"6,675","9,306","6,547","6,713","6,400","8,002","6,050","5,407","5,685","5,962","6,549","6,310","6,140","6,070","5,677","5,428","5,504","4,884",U,U,U,U,U,U,U,U,U,U,U,U,U,U
Commercial vehiclesa,"1,194","1,752","1,692","2,272","1,667","3,464","3,725","3,388","4,062","4,895","5,640","5,713","5,776","6,153","6,435","7,345","7,022","6,224","6,964","7,143","7,467","7,247","6,443","6,201","4,323","3,107","4,132","4,642","4,977","5,394","6,040","6,464"
KEY: R = revised; U = data are unavailable.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"a Includes trucks under 10,000 pounds gross vehicle weight rating (GVWR), such as compact and conventional pickups, sport utility vehicles, minivans, and vans, and trucks and buses over 10,000 pounds GVWR.",,,,,,,,,,,,,,,,,,,,,,,,,`,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Factory sales can be greater than production total because of sales from previous year's inventory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ward's stopped collecting sales data for Passenger cars after 2001 because sales data are very close to production data. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WardsAuto.com, Motor Vehicle Facts & Figures, (Southfield, MI: Annual Issues), pp. 3 and 8, and similar pages in earlier editions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
