Table 1-52:  U.S.-Canadian Border Land-Freight Gateways: Number of Incoming Truck or Rail Container Crossings,,,,,,,,,,,,,
Truck Container,2002,2003,,2004,,2005,,2006,,2007,,2008,
"Buffalo-Niagara, NY","100,751","Blaine, WA","125,632","Blaine, WA","164,844","Blaine, WA","165,115","Blaine, WA","167,930","Blaine, WA","138,093","Detroit, MI","158,264"
,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,
"Truck Container data represent the number of Truck container crossings, not the number of unique vehicles. Data are for both loaded and empty truck containers. ",,,,,,,,,,,,,
Rail Container data include both loaded and empty Rail containers. ,,,,,,,,,,,,,
,,,,,,,,,,,,,
SOURCE,,,,,,,,,,,,,
"U.S. Department of Transportation, Bureau of Transportation Statistics, Border Crossing/Entry Data, available at http://transborder.bts.gov/programs/international/transborder/TBDR_BC/TBDR_BC_Index.html of July 15, 2016.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
