Table 1-36M:  Roadway Vehicle-Kilometers Traveled (VKT) and VKT per Lane-Kilometers by Functional Classa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Urban VKT, total (millions)","1,376,416","1,680,313","2,052,693","2,073,635","2,193,623","2,268,647","2,332,337","2,397,173","2,452,457","2,499,240","2,567,901","2,619,397","2,677,583","2,714,387","2,780,296","2,905,683","3,045,305","3,141,230","3,181,749","3,209,867","3,191,476","3,177,784","3,190,295","3,173,777","3,206,120","3,293,379","3,387,232"
Interstate,"259,494","347,921","448,848","459,186","488,058","510,804","532,012","549,636","565,812","581,670","602,896","616,796","633,221","643,715","657,607","696,255","731,262","754,895","768,113","777,820","766,194","764,114","768,771","767,181","779,803","813,216","836,607"
Other arterialb,"779,227","930,635","1,125,306","1,138,640","1,199,956","1,245,597","1,284,094","1,311,889","1,343,196","1,362,514","1,388,857","1,413,250","1,449,040","1,470,837","1,508,530","1,567,398","1,641,674","1,686,945","1,706,062","1,718,989","1,709,487","1,695,490","1,693,950","1,680,322","1,693,327","1,720,272","1,746,196"
Collectorc,"133,645","144,162","171,068","172,652","186,789","189,721","193,263","204,272","208,104","209,450","212,281","211,794","217,860","221,962","228,324","247,438","260,888","270,431","278,754","281,090","282,261","289,670","290,592","287,716","288,898","303,437","330,000"
Local,"204,050","257,595","307,470","303,157","318,821","322,525","322,968","331,375","335,345","345,607","363,868","377,557","377,462","377,872","385,835","394,592","411,482","428,959","428,819","431,969","433,533","428,510","436,982","438,558","444,092","456,455","474,428"
"Rural VKT, total (millions)","1,081,527","1,175,993","1,398,324","1,421,941","1,422,816","1,427,015","1,461,833","1,501,983","1,545,282","1,608,180","1,661,693","1,710,126","1,743,164","1,787,494","1,815,598","1,746,758","1,722,397","1,670,398","1,669,001","1,666,159","1,593,923","1,580,666","1,583,833","1,567,562","1,571,725","1,515,860","1,482,089"
Interstate,"217,397","248,414","322,147","329,933","330,812","335,239","346,923","359,498","374,277","386,653","404,782","418,697","431,594","440,347","450,555","434,434","429,688","416,482","415,071","412,697","391,537","389,748","395,331","392,016","395,692","377,075","372,357"
Other arterialb,"422,894","455,127","532,477","538,736","553,714","562,574","575,065","593,196","609,695","630,955","649,345","665,174","676,888","687,966","698,141","670,446","659,741","642,019","634,885","633,221","602,334","600,060","605,778","600,445","598,602","577,372","571,509"
Collectorc,"304,919","332,602","386,983","395,303","378,051","364,188","371,000","380,043","387,900","408,934","414,998","425,596","430,067","437,917","442,581","424,323","419,928","404,890","404,549","404,773","388,106","372,300","369,115","366,535","368,172","356,025","335,853"
Local,"136,318","139,850","156,716","157,968","160,239","165,014","168,844","169,245","173,410","181,639","192,568","200,659","204,615","221,264","224,320","217,554","213,040","207,007","214,497","215,469","211,946","218,557","213,609","208,565","209,259","205,389","202,370"
"Urban VKT per lane-kilometer, total (thousands)",987,"1,089","1,229","1,232","1,247","1,258","1,277","1,303","1,320","1,327","1,358","1,382","1,398","1,380","1,386","1,378","1,385","1,388","1,378","1,369","1,334","1,301","1,295","1,290","1,281","1,247","1,264"
Interstate,"5,355","6,072","7,215","7,309","7,256","7,383","7,511","7,700","7,881","8,050","8,258","8,415","8,567","8,643","8,756","8,748","8,818","8,779","8,734","8,713","8,442","8,402","8,329","8,275","8,287","8,220","8,159"
Other arterialb,"2,335","2,504","2,818","2,830","2,869","2,861","2,902","2,943","2,988","3,004","3,059","3,138","3,176","3,215","3,259","3,237","3,249","3,220","3,201","3,182","3,095","2,982","2,969","2,993","2,979","2,956","3,045"
Collectorc,921,888,"1,020","1,045","1,060","1,056","1,054","1,104","1,113","1,109","1,132","1,137","1,155","1,171","1,196","1,193","1,199","1,199","1,202","1,202","1,163","1,147","1,129","1,142","1,128","1,119","1,107"
Local,235,271,295,288,291,288,286,291,292,296,309,318,315,303,302,295,295,300,295,292,288,280,283,282,280,270,278
"Rural VKT per lane-kilometer, total (thousands)",166,182,219,222,224,225,231,238,244,253,265,272,276,284,289,281,281,273,273,273,262,259,259,257,258,252,244
Interstate,"1,660","1,883","2,371","2,417","2,479","2,537","2,643","2,725","2,815","2,904","3,038","3,120","3,207","3,270","3,348","3,332","3,360","3,317","3,337","3,341","3,188","3,198","3,198","3,166","3,171","3,120","3,137"
Other arterialb,834,892,"1,029","1,040","1,051","1,070","1,085","1,118","1,144","1,175","1,207","1,233","1,252","1,269","1,283","1,255","1,240","1,212","1,198","1,194","1,135","1,117","1,117","1,115","1,112","1,088","1,080"
Collectorc,213,227,264,269,262,254,259,268,274,288,293,301,304,310,314,306,304,295,296,296,284,270,267,268,269,262,251
Local,31,32,37,37,38,39,40,40,41,43,46,48,48,53,53,52,52,51,52,53,52,54,52,51,51,51,49
a Includes the 50 States and the District of Columbia.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"b Urban other arterial includes other freeways and expressways, other principal arterial, and minor arterial. Rural other arterial includes other principal arterial and minor arterial prior to 2009, and includes other freeways and expressways, other principal arterial and minor arterial for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,
b Collector is the sum of major and minor collectors. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,
See table 1-6M for estimated highway Lane-kilometers by functional class.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2009 data exclude 1,325 kilometers of federal agency owned roads and 114 kilometers of other non federal agency owned roads. 2008 data exclude 1,268 kilometers of federal agency owned roads. 2007 data exclude 1,268 kilometers of federal owned roads and 703 kilometers of local government owned roads. 2006 data exclude 1,268 kilometers of federal owned roads and included 441 kilometers of miscoded roads. 2005 data exclude 1,239 kilometers of federal agency owned roads.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Component values may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 mile=1.609344 kilometers.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOURCES,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-Kilometers Traveled (VMT):,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-94: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics Summary to 1995, FHWA-PL-97-009 (Washington, DC: July 1997), table VM-202, available at www.fhwa.dot.gov/policy/ohpi as of Mar. 18, 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1995-2014: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table VM-2, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of May, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Lane-kilometers:,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1980-95: U.S. Department of Transportation, Federal Highway Administration, Office of Highway Information Management, Highway Statistics Summary to 1995 (Washington, DC), table HM-260, available at  http://www.fhwa.dot.gov/policy/ohpi/hss/hsspubs.cfm as of Mar. 29, 2011.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1996-2014: U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table HM-60, available at http://www.fhwa.dot.gov/policyinformation/statistics.cfm as of May 10, 2016.",,,,,,,,,,,,,,,,,,,,,,,,,,,
