Table 1-72:  Annual Highway Congestion Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban area,Population group,Annual congestion cost per auto commuter (2014 dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual congestion cost (2014 dollars- millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Value,,,,,,,,,,,,,,,,,Rank,,,,,,,,,,,,,,,,,Value,,,,,,,,,,,,,,,,,Rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,(R) 1998,(R) 1999,(R) 2000,(R) 2001,(R) 2002,(R) 2003,(R) 2004,(R) 2005,(R) 2006,(R) 2007,(R) 2008,(R) 2009,(R) 2010,(R) 2011,2012,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madison, WI",Small,573,613,629,668,697,728,762,790,836,868,879,871,897,890,898,915,911,83,83,84,83,83,83,80,77,75,73,74,67,62,61,60,54,55,178,190,195,207,216,226,236,245,259,269,273,270,278,276,278,284,283,83,84,84,85,85,85,85,85,85,84,82,82,82,82,82,80,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McAllen, TX",Medium,314,363,378,389,417,464,506,527,576,611,616,614,631,627,635,647,649,96,95,95,95,95,95,95,95,94,93,92,90,90,89,89,89,89,172,199,207,213,228,254,277,289,315,335,338,336,346,343,348,355,355,84,83,83,83,84,83,81,80,78,75,74,74,74,74,73,71,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN-MS-AR",Large,"1,113","1,164","1,170","1,171","1,194","1,198","1,207","1,202","1,174","1,164","1,156","1,127","1,116","1,079","1,069","1,062","1,080",15,12,13,16,16,20,20,21,21,21,22,23,26,26,27,30,29,968,"1,012","1,018","1,019","1,038","1,042","1,050","1,046","1,021","1,012","1,005",980,971,939,930,923,939,36,36,36,36,36,36,37,36,38,38,38,38,39,40,40,41,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miami, FL",Very large,"1,181","1,226","1,312","1,346","1,409","1,391","1,400","1,380","1,347","1,321","1,293","1,204","1,191","1,174","1,174","1,180","1,169",11,11,9,9,9,10,10,11,12,13,11,11,14,15,16,16,17,"4,490","4,659","4,988","5,116","5,355","5,286","5,320","5,245","5,119","5,020","4,914","4,575","4,527","4,462","4,462","4,487","4,444",5,5,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Milwaukee, WI",Large,"1,143","1,124","1,118","1,129","1,131","1,141","1,135","1,113","1,103","1,083","1,065","1,027","1,042","1,016","1,005",998,987,13,18,22,22,27,26,28,30,31,34,36,36,34,37,38,38,41,"1,139","1,120","1,114","1,125","1,127","1,136","1,131","1,109","1,099","1,078","1,061","1,023","1,038","1,012","1,002",995,984,28,32,33,33,34,34,34,34,35,36,33,34,36,37,38,38,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minneapolis - St. Paul, MN",Large,"1,087","1,132","1,155","1,167","1,177","1,183","1,181","1,163","1,145","1,126","1,085","1,028","1,045","1,041","1,037","1,039","1,035",16,15,14,17,19,21,24,25,27,30,32,35,33,33,34,33,36,"2,306","2,402","2,450","2,477","2,498","2,510","2,505","2,467","2,430","2,389","2,302","2,182","2,217","2,208","2,200","2,204","2,196",15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nashville-Davidson, TN",Large,856,922,982,"1,039","1,124","1,170","1,230","1,235","1,218","1,196","1,161","1,098","1,131","1,150","1,194","1,183","1,168",51,45,37,35,29,22,17,18,19,19,20,25,23,21,13,15,18,742,799,851,901,974,"1,014","1,066","1,070","1,056","1,036","1,006",951,980,997,"1,035","1,025","1,013",43,42,42,41,39,38,36,35,36,37,37,39,38,38,34,34,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Haven, CT",Medium,"1,053","1,090","1,098","1,115","1,148","1,135","1,133","1,114","1,096","1,090","1,072","1,004",997,970,952,945,932,23,24,24,24,23,28,29,28,32,33,34,39,40,43,46,48,51,434,449,452,459,473,467,467,459,451,449,441,413,411,399,392,389,384,58,60,59,60,59,61,62,63,65,63,63,65,66,67,68,68,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",Medium,"1,235","1,230","1,215","1,210","1,210","1,222","1,222","1,114",958,"1,055","1,137","1,171","1,203","1,188","1,166","1,149","1,161",9,10,11,13,14,16,19,28,60,41,25,16,12,12,18,21,19,"1,079","1,075","1,061","1,057","1,057","1,068","1,068",973,837,922,994,"1,023","1,051","1,038","1,019","1,004","1,014",32,34,35,35,35,35,35,40,45,42,39,34,35,34,36,36,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York-Newark, NY-NJ-CT",Very large,"1,589","1,673","1,710","1,727","1,827","1,899","1,917","1,932","1,913","1,889","1,822","1,824","1,808","1,784","1,765","1,752","1,739",5,4,3,4,4,3,3,2,2,2,3,2,2,2,2,2,2,"13,441","14,150","14,466","14,606","15,451","16,067","16,218","16,346","16,186","15,978","15,415","15,434","15,297","15,095","14,927","14,824","14,712",2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma City, OK",Large,815,874,927,977,"1,013","1,014","1,054","1,037","1,019","1,013","1,015","1,012","1,013","1,019","1,042","1,066","1,110",55,52,46,41,38,44,40,46,48,50,42,38,37,35,32,28,27,756,811,860,906,940,941,978,962,945,940,942,939,940,946,967,989,"1,030",42,41,41,40,41,42,40,41,40,40,41,40,40,39,39,39,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omaha, NE-IA",Medium,542,591,623,651,678,682,692,675,680,671,704,697,705,690,721,714,707,87,85,85,84,85,86,86,88,89,89,86,86,86,85,80,83,84,312,340,358,375,390,393,398,388,391,386,405,401,406,397,415,411,407,72,71,70,68,67,68,67,69,69,71,68,67,67,68,64,64,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orlando, FL",Large,860,924,981,"1,037","1,091","1,136","1,145","1,162","1,166","1,160","1,140","1,078","1,070","1,041","1,029","1,035","1,044",50,44,39,36,32,27,27,26,23,24,24,29,32,33,35,35,34,994,"1,068","1,134","1,198","1,261","1,313","1,323","1,343","1,347","1,341","1,317","1,246","1,237","1,203","1,189","1,196","1,207",35,35,32,30,29,29,28,28,28,28,28,28,28,28,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oxnard-Ventura, CA",Small,395,406,431,466,503,518,532,562,596,551,472,475,489,496,497,495,494,92,94,94,94,94,93,94,93,93,94,97,96,96,95,95,96,97,107,110,117,126,136,140,144,152,161,149,128,129,133,134,135,134,134,94,95,95,94,94,94,94,95,94,96,96,96,96,96,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pensacola, FL-AL",Small,773,806,817,817,893,927,972,973,"1,000",995,936,888,896,880,867,859,849,61,63,64,68,65,62,56,55,51,53,59,63,65,65,67,69,70,225,234,237,237,259,269,282,283,290,289,272,258,260,256,252,250,247,78,79,77,82,81,80,80,81,82,82,83,83,83,83,84,84,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Philadelphia, PA-NJ-DE-MD",Very large,"1,126","1,156","1,212","1,280","1,383","1,403","1,422","1,394","1,358","1,293","1,211","1,211","1,200","1,167","1,137","1,129","1,112",14,13,12,10,10,9,9,9,11,14,16,10,13,18,21,23,26,"3,717","3,815","4,001","4,224","4,563","4,630","4,693","4,600","4,482","4,268","3,997","3,996","3,962","3,852","3,754","3,727","3,669",10,8,8,7,7,7,5,6,8,9,8,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ",Very large,908,"1,008","1,042","1,074","1,128","1,159","1,201","1,257","1,280","1,339","1,272","1,184","1,187","1,181","1,196","1,193","1,201",40,31,32,29,28,25,21,17,15,11,12,12,16,13,12,13,13,"2,753","3,054","3,159","3,255","3,420","3,514","3,641","3,810","3,879","4,057","3,855","3,588","3,598","3,581","3,625","3,616","3,641",14,13,13,13,13,13,12,10,10,10,10,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsburgh, PA",Large,956,975,995,"1,000","1,011",999,982,985,967,957,898,864,886,881,882,880,889,30,34,35,39,40,45,55,54,58,60,68,70,68,64,63,64,59,"1,108","1,130","1,153","1,159","1,172","1,158","1,139","1,142","1,122","1,109","1,041","1,001","1,027","1,021","1,023","1,021","1,030",31,30,29,31,31,31,32,32,32,33,36,37,37,36,35,35,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portland, OR-WA",Large,982,"1,028","1,068","1,117","1,145","1,167","1,196","1,175","1,160","1,152","1,120","1,132","1,190","1,231","1,266","1,270","1,273",28,29,28,23,24,24,23,22,24,27,27,21,15,11,11,11,11,"1,360","1,423","1,478","1,547","1,586","1,616","1,657","1,627","1,606","1,596","1,551","1,568","1,648","1,705","1,753","1,759","1,763",22,22,22,23,23,23,24,24,24,24,24,24,23,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poughkeepsie-Newburgh, NY",Small,660,684,682,692,777,822,890,908,915,912,901,857,880,865,865,870,867,76,76,78,79,73,73,69,68,67,68,67,71,69,69,68,67,66,228,236,235,239,268,284,307,314,316,315,311,296,304,299,299,300,299,77,78,79,81,79,78,77,77,77,80,80,79,79,78,77,78,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Providence, RI-MA",Large,954,"1,016","1,026","1,064","1,109","1,107","1,098","1,073","1,047","1,035","1,008",987,989,984,971,963,951,31,30,33,31,31,32,33,36,40,45,43,41,41,40,42,45,47,849,904,912,946,986,985,976,954,931,921,896,877,879,875,863,856,846,38,38,38,38,38,39,41,42,42,43,44,42,43,43,43,43,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provo, UT",Medium,546,591,574,641,648,683,685,707,698,690,662,655,643,644,677,713,708,86,85,87,87,86,85,87,86,86,87,88,87,88,87,87,84,83,208,225,219,244,247,260,261,269,266,263,252,249,245,245,258,271,270,80,80,82,80,82,82,83,83,84,85,84,84,85,84,83,83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raleigh-Durham, NC",Medium,549,590,647,684,724,745,748,746,746,739,729,718,749,730,718,743,734,85,87,79,80,82,81,83,83,82,86,83,80,80,80,82,80,81,377,405,444,470,497,512,514,512,512,508,500,493,514,502,493,510,504,65,63,61,56,56,56,57,57,59,59,57,58,56,56,57,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond, VA",Large,496,500,518,552,589,659,707,721,746,753,763,746,754,733,727,736,729,88,89,89,90,90,87,85,84,82,84,80,79,79,79,79,81,82,380,383,397,423,452,505,542,553,571,577,585,571,577,562,557,564,558,64,65,64,63,63,57,55,55,53,53,53,54,54,54,54,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riverside-San Bernardino, CA",Large,936,"1,005","1,055","1,092","1,179","1,258","1,325","1,389","1,413","1,406","1,369","1,293","1,318","1,291","1,270","1,286","1,316",34,32,30,27,17,15,12,10,9,9,8,9,8,10,10,10,10,"1,566","1,682","1,766","1,827","1,971","2,104","2,216","2,323","2,364","2,351","2,290","2,163","2,205","2,159","2,125","2,151","2,201",20,20,20,19,18,18,17,16,16,16,16,16,16,16,16,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rochester, NY",Medium,872,875,874,880,913,992,"1,033","1,062","1,055","1,082",939,957,946,918,906,900,889,45,51,57,61,58,48,43,39,37,35,58,49,50,52,56,58,59,460,462,461,464,481,523,545,560,557,571,495,505,499,484,478,475,469,56,57,58,58,57,55,54,54,55,54,59,56,58,58,58,59,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sacramento, CA",Large,759,807,827,886,963,"1,040","1,057","1,066","1,078","1,082","1,018",982,976,956,959,968,958,65,62,63,57,47,39,38,38,34,35,41,44,44,44,44,44,45,"1,058","1,125","1,152","1,234","1,341","1,448","1,472","1,484","1,502","1,507","1,418","1,367","1,360","1,332","1,336","1,348","1,334",33,31,30,29,27,26,26,26,26,26,26,26,27,27,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salem, OR",Small,719,754,813,893,973,"1,023","1,041","1,061","1,040","1,046","1,007",968,931,888,876,882,876,71,70,65,56,46,42,42,40,44,42,44,47,53,63,64,62,65,144,151,162,178,194,204,208,212,208,209,201,193,186,177,175,176,175,90,90,88,88,86,86,87,87,87,87,87,87,88,90,90,91,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salt Lake City, UT",Large,771,808,891,946,"1,009","1,054","1,057","1,052","1,054","1,058","1,004",987,989,994,"1,027","1,036","1,059",63,61,52,43,41,37,38,42,38,39,45,41,41,38,36,34,31,567,595,656,696,743,776,778,774,775,778,739,726,728,731,755,762,779,52,51,48,47,47,45,46,47,48,48,47,47,47,47,47,47,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Antonio, TX",Large,863,888,908,926,951,964,985,972,986,974,948,923,949,954,973,989,"1,002",48,48,49,48,50,52,53,56,54,57,56,54,49,46,41,40,38,"1,260","1,296","1,325","1,351","1,387","1,407","1,437","1,419","1,438","1,422","1,383","1,347","1,385","1,392","1,420","1,443","1,462",25,26,25,25,25,27,27,27,27,27,27,27,26,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego, CA",Very large,814,884,902,932,978,994,"1,002",988,978,966,935,910,901,899,900,899,887,56,49,50,46,45,47,50,53,56,59,61,57,61,58,59,59,61,"1,522","1,651","1,686","1,741","1,828","1,857","1,872","1,846","1,828","1,806","1,748","1,701","1,683","1,680","1,682","1,680","1,658",21,21,21,21,21,21,21,21,21,22,21,21,21,22,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco-Oakland, CA",Very large,"2,007","2,007","1,989","1,966","1,950","1,944","1,932","1,915","1,880","1,841","1,756","1,691","1,671","1,636","1,686","1,691","1,675",2,2,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,"3,768","3,768","3,733","3,691","3,661","3,649","3,627","3,595","3,529","3,455","3,295","3,174","3,137","3,070","3,165","3,174","3,143",9,9,10,11,12,12,13,13,13,13,13,14,14,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Jose, CA",Large,"1,033","1,093","1,149","1,186","1,198","1,211","1,201","1,208","1,226","1,238","1,227","1,175","1,253","1,332","1,347","1,380","1,422",26,23,15,14,15,17,21,19,18,17,14,15,10,9,9,9,8,"1,620","1,713","1,802","1,860","1,879","1,899","1,883","1,894","1,922","1,942","1,924","1,843","1,965","2,088","2,113","2,164","2,230",18,19,18,18,19,19,20,19,19,19,19,19,19,17,17,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Juan, PR",Large,879,976,"1,057","1,110","1,178","1,268","1,302","1,289","1,248","1,200","1,115","1,167","1,186","1,170","1,166","1,158","1,150",42,33,29,26,18,14,14,15,17,18,28,17,17,17,18,19,21,"1,227","1,362","1,475","1,550","1,644","1,770","1,817","1,799","1,743","1,675","1,557","1,629","1,655","1,633","1,628","1,617","1,605",27,23,23,22,22,22,22,22,23,23,23,22,22,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sarasota-Bradenton, FL",Medium,578,618,618,606,613,629,639,646,648,639,618,566,584,577,570,587,589,81,82,86,88,88,90,89,89,90,90,90,92,92,92,92,92,92,307,328,328,321,325,334,339,343,344,339,328,300,310,306,302,311,312,73,73,73,73,73,74,75,74,73,73,77,78,77,77,76,76,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle, WA",Very large,"1,308","1,341","1,362","1,409","1,470","1,541","1,571","1,554","1,543","1,529","1,483","1,458","1,482","1,471","1,474","1,507","1,491",8,8,8,8,8,8,6,6,6,6,6,6,6,6,5,5,5,"2,890","2,962","3,009","3,114","3,248","3,404","3,471","3,433","3,410","3,379","3,276","3,222","3,274","3,249","3,257","3,330","3,294",13,14,14,14,14,14,14,14,14,14,14,13,13,12,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spokane, WA",Small,874,901,914,904,944,"1,027","1,012","1,008",999,991,970,950,933,914,909,913,911,44,47,48,53,52,41,47,49,52,56,51,50,52,54,55,56,55,299,309,313,310,323,352,347,345,342,339,332,325,320,313,311,313,312,74,74,74,74,74,72,73,73,74,73,75,75,75,75,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Springfield, MA-CT",Medium,921,960,961,936,931,950,948,937,928,916,890,871,866,846,849,842,831,37,37,41,44,54,57,64,65,66,67,71,67,71,71,72,73,75,452,471,471,459,457,466,465,460,456,449,437,427,425,415,416,413,408,57,56,56,60,61,62,63,62,62,63,64,63,63,63,63,63,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Louis, MO-IL",Large,"1,084","1,110","1,121","1,138","1,159","1,169","1,177","1,175","1,168","1,163","1,148","1,086","1,085","1,052","1,039","1,031","1,020",19,19,19,21,21,23,25,22,22,22,23,27,29,31,33,36,37,"1,739","1,781","1,798","1,825","1,859","1,875","1,888","1,885","1,873","1,866","1,841","1,743","1,740","1,688","1,666","1,654","1,637",17,17,19,20,20,20,19,20,20,20,20,20,20,21,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stockton, CA",Small,413,434,438,469,507,512,539,614,620,631,556,537,537,531,523,519,516,91,92,93,93,93,94,92,92,92,92,93,93,93,93,93,93,93,118,124,125,134,145,147,154,176,177,180,159,154,154,152,150,149,148,93,93,93,93,93,93,93,90,90,90,93,94,94,94,94,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tampa-St Petersburg, FL",Large,767,772,802,849,901,915,"1,010","1,013","1,034","1,033",983,921,914,903,910,915,907,64,68,66,64,62,65,48,47,45,46,50,55,57,56,54,54,57,"1,343","1,353","1,404","1,487","1,577","1,603","1,769","1,774","1,811","1,809","1,722","1,614","1,602","1,581","1,593","1,602","1,589",24,24,24,24,24,24,23,23,22,21,22,23,24,24,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toledo, OH-MI",Medium,941,932,923,931,941,951,951,939,946,951,936,896,909,916,915,924,920,33,41,47,47,53,56,62,63,65,63,59,61,58,53,53,53,52,390,386,383,386,390,394,394,389,392,394,388,371,377,380,379,383,381,63,64,66,66,67,67,69,68,68,69,69,70,70,69,69,69,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tucson, AZ",Medium,918,959,982,978,992,"1,019","1,024","1,083","1,115","1,154","1,188","1,098","1,124","1,092","1,094","1,089","1,128",38,38,37,40,42,43,46,34,30,25,17,25,25,25,25,26,23,696,728,745,742,753,773,777,822,846,876,901,833,853,829,830,826,856,44,45,46,46,46,46,47,45,44,44,42,44,44,45,44,45,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tulsa, OK",Medium,882,880,884,881,901,953,951,965,989,995,"1,001",946,941,940,931,953,984,41,50,54,59,62,55,62,58,53,53,47,51,51,50,51,47,42,611,610,612,610,624,660,659,668,685,689,694,655,652,651,645,660,682,49,49,52,52,51,51,51,51,51,51,50,50,50,50,50,49,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia Beach, VA",Large,"1,051","1,069","1,074","1,074","1,069","1,064","1,060","1,045","1,034","1,019",985,978,984,956,939,938,953,24,26,26,29,34,36,37,43,45,49,48,45,43,44,48,50,46,"1,125","1,144","1,150","1,149","1,144","1,139","1,135","1,118","1,107","1,090","1,055","1,047","1,053","1,024","1,005","1,004","1,020",29,29,31,32,33,33,33,33,33,34,34,33,34,35,37,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, DC-VA-MD",Very large,"1,679","1,704","1,681","1,752","1,840","1,872","1,886","1,897","1,886","1,888","1,877","1,916","1,924","1,886","1,858","1,838","1,834",3,3,4,3,3,4,4,4,3,3,2,1,1,1,1,1,1,"4,175","4,235","4,180","4,357","4,576","4,654","4,689","4,717","4,690","4,695","4,666","4,764","4,783","4,690","4,620","4,569","4,560",6,6,6,6,6,6,6,5,6,6,5,4,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wichita, KS",Medium,712,741,743,754,759,780,813,839,890,910,894,799,824,827,829,824,837,72,73,75,76,77,76,75,74,72,69,69,75,74,73,74,74,73,347,360,362,367,369,379,396,408,433,443,435,389,401,402,403,401,407,68,67,68,69,70,70,68,66,66,66,65,68,68,66,66,66,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Winston-Salem, NC",Small,328,349,376,385,395,414,440,470,490,484,457,441,446,429,422,418,415,95,96,96,96,96,96,96,96,96,97,98,98,98,98,99,99,99,107,114,122,125,129,135,143,153,160,157,149,144,145,140,137,136,135,94,94,94,95,95,95,95,94,96,95,95,95,95,95,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Worcester, MA",Small,820,849,865,883,902,919,934,938,957,953,935,885,897,878,854,875,865,54,57,58,58,61,64,65,64,61,62,61,65,62,67,70,65,67,286,297,302,308,315,321,326,328,334,333,327,309,313,307,298,305,302,75,75,75,75,76,76,76,76,76,77,78,76,76,76,78,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471 Urban area average,471 Areas,915,945,962,983,"1,014","1,034","1,049","1,048","1,043","1,034",996,967,970,959,959,961,960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,158,175,188,199,212,230,251,270,286,293,283,292,306,317,326,338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 Urban area average,101 Areas,"1,174","1,206","1,223","1,245","1,281","1,302","1,318","1,313","1,304","1,288","1,239","1,202","1,204","1,189","1,189","1,191","1,189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,307","1,350","1,374","1,404","1,448","1,477","1,498","1,497","1,490","1,476","1,422","1,381","1,385","1,369","1,369","1,373","1,371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very large area average,Very large,"1,482","1,511","1,524","1,546","1,588","1,611","1,626","1,619","1,605","1,576","1,507","1,464","1,458","1,441","1,441","1,442","1,433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,323","5,458","5,526","5,617","5,788","5,881","5,945","5,932","5,885","5,788","5,531","5,380","5,361","5,294","5,291","5,291","5,259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large area average,Large,929,969,994,"1,025","1,059","1,082","1,104","1,102","1,098","1,091","1,057","1,023","1,038","1,028","1,033","1,039","1,045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,121","1,172","1,205","1,247","1,291","1,322","1,349","1,348","1,344","1,336","1,296","1,254","1,272","1,261","1,267","1,274","1,281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium area average,Medium,814,845,856,863,879,897,902,900,899,910,896,870,876,861,859,862,867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430,448,455,460,470,482,487,487,489,496,490,475,479,471,470,472,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small area average,Small,547,576,596,624,662,691,715,731,742,746,721,702,708,698,694,700,704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,154,160,168,179,187,193,198,201,203,196,191,192,190,188,190,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY:  NA = not applicable; R = revised.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very large urban areas - 3 million and over population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large urban areas - 1 million to less than 3 million population.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Medium urban areas - 500,000 to less than 1 million population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small urban areas - less than 500,000 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The urban areas included are those containing over 500,000 people and several smaller places mostly chosen by previous sponsors of the Texas Transportation Institute study on mobility. Population group is based on 2014 population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The cost of congestion is estimated with a value for each hour of travel time and each gallon of fuel.  For a more detailed explanation of the formulas used, see the source document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
