Table 1-27:  Condition of U.S. Roadways by Functional System,,,,,,,,,,,,,,,,,,,,,,,
,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Interstates miles reported,"11,783","10,738","12,338","12,307","12,430","12,477","12,231","13,109","13,139","13,256","13,367","14,331","14,984","15,544","15,899","16,035","16,348","16,278",U,"15,994","16,383","10,954","17,699"
">220, percent",2.8,2.5,2.8,1.8,1.4,2.0,2.3,1.5,1.4,1.6,1.7,1.7,1.8,1.5,1.1,1.6,1.4,1.1,U,1.5,1.4,1.5,1.6
"171-220, percent",8.5,8.2,10.2,8.6,7.3,7.1,7.0,5.8,5.1,5.8,6.0,5.9,5.3,4.5,4.0,4.3,4.0,4.0,U,3.7,3.6,3.6,3.7
"95-170, percent",54.5,54.5,54.1,50.7,53.0,51.4,47.3,45.7,43.1,41.8,40.9,37.9,37.2,35.4,34.7,34.0,32.5,32.1,U,29.4,27.3,25.4,24.8
"60-94, percent",20.1,28.3,26.7,27.5,30.7,32.9,32.0,34.9,37.1,35.9,36.0,36.6,38.2,42.0,41.4,41.3,42.9,42.0,U,40.7,39.8,38.9,38.6
"<60, percent",14.0,6.5,6.2,11.4,7.6,6.7,11.4,12.0,13.3,14.9,15.4,17.9,17.4,16.6,18.7,18.8,19.2,20.9,U,24.7,28.0,30.6,31.3
Miles not reported,683,"2,140",788,857,787,771,"1,040",230,226,156,123,131,140,157,139,271,193,317,U,711,526,91,868
Other freeways and expressway miles reported,"8,146","7,011","7,618","7,804","8,410","8,480","8,772","8,860","8,796","8,959","9,242","9,786","10,143","10,443","10,659","10,832","11,175","10,942",U,"10,730","10,896","6,416","11,070"
">220, percent",3.7,3.8,5.3,4.8,3.4,3.3,3.2,2.6,2.8,3.1,2.7,2.4,2.1,1.9,1.5,1.6,1.4,1.4,U,2.2,2.2,2.2,2.5
"171-220, percent",9.5,9.4,12.7,9.8,8.7,8.7,8.7,8.1,8.1,7.1,7.6,8.3,7.6,6.0,5.0,5.5,5.1,5.1,U,5.6,5.3,5.0,5.7
"95-170, percent",59.5,60.6,58.1,54.7,54.7,58.5,54.3,53.6,50.7,50.5,48.6,45.7,45.5,44.7,43.0,42.3,42.5,41.6,U,39.0,36.1,35.1,33.4
"60-94, percent",18.1,22.7,20.9,20.4,26.3,25.2,27.1,29.0,31.6,31.5,33.3,35.0,37.4,39.6,40.1,40.5,40.6,40.4,U,39.1,39.4,39.6,38.6
"<60, percent",9.3,3.5,2.9,10.3,6.8,4.2,6.6,6.8,6.8,7.7,7.9,8.6,7.4,7.9,10.3,10.0,10.3,11.6,U,14.1,17.1,18.2,19.8
Miles not reported,319,"1,846","1,377","1,166",617,579,397,281,353,167,82,81,98,108,84,78,152,467,U,765,573,129,714
Other principal arterials miles reported,N,"30,337","38,598","41,444","44,498","45,009","44,886","48,045","47,890","48,931","50,016","53,431","56,831","59,743","61,064","61,259","62,584","58,901",U,"58,419","60,235","23,491","60,483"
">220, percent",N,9.2,12.5,12.4,11.8,12.1,12.9,12.5,13.2,12.9,13.3,12.7,12.2,11.8,11.1,11.4,11.6,11.4,U,13.0,12.7,12.0,13.5
"171-220, percent",N,13.3,16.3,14.7,14.1,14.6,18.5,18.1,16.8,16.4,16.4,16.4,15.5,15.7,14.5,15.4,15.2,15.0,U,15.1,13.9,13.8,12.6
"95-170, percent",N,55.0,50.8,47.2,48.9,49.5,45.3,45.2,45.1,45.7,46.1,46.7,46.8,47.2,44.9,45.8,45.8,45.1,U,42.7,42.2,40.6,39.1
"60-94, percent",N,19.3,16.6,15.9,17.5,17.8,17.6,18.8,19.4,19.5,19.4,19.5,20.0,20.1,21.4,21.7,21.8,22.3,U,22.3,23.3,24.6,25.1
"<60, percent",N,3.3,3.8,9.7,7.7,6.0,5.8,5.4,5.4,5.5,4.9,4.7,5.5,5.3,8.2,5.6,5.5,6.3,U,6.9,7.9,9.0,9.7
Miles not reported,N,"22,498","14,492","11,352","8,485","8,209","8,246","5,154","5,426","4,126","3,422","3,440","2,863","2,064","1,765","2,030","1,975","5,654",U,"6,563","4,957","1,425","6,278"
Minor arterials miles reported,N,N,N,N,N,N,N,"45,182","43,830","47,657","49,021","54,129","58,473","58,699","63,020","64,287","66,134","66,068",U,"66,929","64,770","63,204","71,995"
">220, percent",N,N,N,N,N,N,N,12.3,14.3,14.0,14.8,15.3,17.8,15.6,14.7,14.9,14.0,14.1,U,18.3,18.6,19.4,17.5
"171-220, percent",N,N,N,N,N,N,N,14.6,19.3,19.1,18.6,19.1,18.4,18.0,17.3,17.0,16.7,16.1,U,19.0,19.0,18.8,18.1
"95-170, percent",N,N,N,N,N,N,N,45.9,45.9,45.5,45.4,45.5,43.8,45.0,43.9,44.1,44.9,45.9,U,45.7,45.9,43.9,42.7
"60-94, percent",N,N,N,N,N,N,N,16.6,12.6,14.1,14.4,14.1,13.1,14.5,13.9,14.4,14.9,14.5,U,14.4,13.7,14.4,17.5
"<60, percent",N,N,N,N,N,N,N,10.7,7.8,7.2,6.8,6.0,7.0,6.9,10.1,9.6,9.5,9.3,U,2.6,2.8,3.6,4.2
Miles not reported,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N,N
Collectors miles reported,N,N,N,N,N,N,N,"34,819","29,726","30,468","32,491","38,349","43,619","45,210","53,236","54,673","57,194","57,177",U,"65,043","61,706","59,512","71,581"
">220, percent",N,N,N,N,N,N,N,20.1,28.8,28.1,29.3,28.9,31.9,28.4,26.7,26.9,24.8,23.9,U,31.3,30.9,32.1,28.2
"171-220, percent",N,N,N,N,N,N,N,17.8,23.5,21.9,22.2,22.7,21.5,21.3,20.5,20.0,20.3,20.9,U,22.4,21.3,21.6,21.3
"95-170, percent",N,N,N,N,N,N,N,38.2,34.1,36.8,36.0,36.0,34.0,37.0,37.7,38.2,39.7,40.0,U,37.3,38.6,37.3,39.0
"60-94, percent",N,N,N,N,N,N,N,12.6,5.7,5.7,5.3,5.6,6.1,7.9,6.4,6.3,7.2,7.2,U,7.9,8.0,7.9,10.2
"<60, percent",N,N,N,N,N,N,N,11.4,7.9,7.5,7.1,6.8,6.6,5.3,8.6,8.5,8.1,8.0,U,1.1,1.2,1.1,1.3
Miles not reported,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,U,N,N,N,N
KEY: N = data do not exist; U = data are not available.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,
This edition of this table is not comparable to previous editions due to a change in the categories of road conditions.,,,,,,,,,,,,,,,,,,,,,,,
"Data is reported as the International Roughness Index (IRI) in inches per mile. Lower IRI represents smoother riding roadways. For more information on the rating system, refer to National Cooperative Highway Research Program (NCHRP) report 20-24(37)G, Technical Guidance for Deploying National Level Performance Measurements, available at http://onlinepubs.trb.org/onlinepubs/nchrp/docs/NCHRP20-24(37)G_FR.pdf as of November 2011.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SOURCES  ,,,,,,,,,,,,,,,,,,,,,,,
"Rural major collector, urban minor arterial, and urban collector:",,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table HM-63, available at http://www.fhwa.dot.gov/policy/ohpi/hss/index.cfm as of May 5, 2016.",,,,,,,,,,,,,,,,,,,,,,,
"All other categories except rural major collector, urban minor arterial, and urban collector:",,,,,,,,,,,,,,,,,,,,,,,
"U.S. Department of Transportation, Federal Highway Administration, Highway Statistics (Washington, DC: Annual Issues), table HM-64, available at http://www.fhwa.dot.gov/policy/ohpi/hss/index.cfm as of May 5, 2016.",,,,,,,,,,,,,,,,,,,,,,,
