Table 1-47:  U.S.-Canadian Border Land-Passenger Gateways: Entering the United States,,,,,,,,,,,,,,,,,,,,,,,,,
All U.S.-Canadian land gateways,2002,2003,,2004,,2005,,2006,,2007,,2008,,,,,,,,,,,,,
"Buffalo-Niagara Falls, NY","50,582","Buffalo-Niagara Falls, NY","43,358","Buffalo-Niagara Falls, NY","39,920","Buffalo-Niagara Falls, NY","45,289","Detroit, MI","36,457","Buffalo-Niagara Falls, NY","37,529","Buffalo-Niagara Falls, NY","34,067",,,,,,,,,,,,
"Detroit, MI","36,603","Detroit, MI","36,177","Detroit, MI","37,229","Detroit, MI","37,244","Buffalo-Niagara Falls, NY","30,295","Detroit, MI","33,615","Detroit, MI","31,160",,,,,,,,,,,,
"Blaine, WA","15,748","Sault Ste. Marie, MI","15,760","Sault Ste. Marie, MI","17,453","Blaine, WA","12,720","Blaine, WA","12,776","Blaine, WA","14,405","Blaine, WA","14,145",,,,,,,,,,,,
"Champlain-Rouses Point, NY","10,415","Blaine, WA","12,865","Blaine, WA","14,279","Skagway, AK","10,257","Skagway, AK","10,405","Skagway, AK","11,309","Skagway, AK","11,337",,,,,,,,,,,,
"Sault Ste. Marie, MI","8,831","Champlain-Rouses Point, NY","11,290","Skagway, AK","9,515","Sault Ste. Marie, MI","10,243","Champlain-Rouses Point, NY","8,317","Champlain-Rouses Point, NY","8,124","Champlain-Rouses Point, NY","8,418",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
All U.S.-Canadian land gateways,2009,2010,,2011,,2012,,2013,,2014,,2015,,,,,,,,,,,,,
All personal vehicle passengers,"53,528,341",All personal vehicle passengers,"56,788,870",All personal vehicle passengers,"59,191,696",All personal vehicle passengers,"62,008,178",All personal vehicle passengers,"62,347,059",All personal vehicle passengers,"(R) 59,681,417",All personal vehicle passengers,"52,122,219",,,,,,,,,,,,
All personal vehicles,"26,706,830",All personal vehicles,"28,884,267",All personal vehicles,"31,595,769",All personal vehicles,"33,083,636",All personal vehicles,"(R) 33,833,388",All personal vehicles,"31,979,736",All personal vehicles,"28,544,860",,,,,,,,,,,,
All bus passengers,"2,503,417",All bus passengers,"2,451,226",All bus passengers,"2,452,429",All bus passengers,"2,435,608",All bus passengers,"2,375,944",All bus passengers,"2,243,782",All bus passengers,"2,048,943",,,,,,,,,,,,
